gold_id,analysis_project_name,gold_analysis_project_type,its_analysis_project_id,img_taxon_oid,genbanks,study_gold_id,project_gold_ids,,,,
Ga0050552,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_26 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2558309151",Metatranscriptome mapping (other),1045987,,[],Gs0110148,Gp0072750,,,,
Ga0050553,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_26 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2556921676",Metatranscriptome mapping (other),1045988,,[],Gs0110148,Gp0072750,,,,
Ga0050554,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_26 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2522572103",Metatranscriptome mapping (other),1045989,,[],Gs0110148,Gp0072750,,,,
Ga0050555,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_26 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2522572149",Metatranscriptome mapping (other),1045990,,[],Gs0110148,Gp0072750,,,,
Ga0050556,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_26 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2546825533",Metatranscriptome mapping (other),1045991,,[],Gs0110148,Gp0072750,,,,
Ga0050557,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_26 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2556921095",Metatranscriptome mapping (other),1045992,,[],Gs0110148,Gp0072750,,,,
Ga0050558,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_26 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2556921112",Metatranscriptome mapping (other),1045993,,[],Gs0110148,Gp0072750,,,,
Ga0050559,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_26 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2558860141",Metatranscriptome mapping (other),1045994,,[],Gs0110148,Gp0072750,,,,
Ga0050560,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_26 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2522572155",Metatranscriptome mapping (other),1045995,,[],Gs0110148,Gp0072750,,,,
Ga0050561,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_26 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 3300001305",Metatranscriptome mapping (other),1045996,,[],Gs0110148,Gp0072750,,,,
Ga0050562,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_26 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 3300001205",Metatranscriptome mapping (other),1045997,,[],Gs0110148,Gp0072750,,,,
Ga0050699,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_25 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2558860165",Metatranscriptome mapping (other),1046142,,[],Gs0110148,Gp0072749,,,,
Ga0050700,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_25 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2522572100",Metatranscriptome mapping (other),1046143,,[],Gs0110148,Gp0072749,,,,
Ga0050701,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_25 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2556921040",Metatranscriptome mapping (other),1046144,,[],Gs0110148,Gp0072749,,,,
Ga0050702,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_25 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2522572102",Metatranscriptome mapping (other),1046146,,[],Gs0110148,Gp0072749,,,,
Ga0050703,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_25 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2556921042",Metatranscriptome mapping (other),1046147,,[],Gs0110148,Gp0072749,,,,
Ga0050704,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_25 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2522572150",Metatranscriptome mapping (other),1046148,,[],Gs0110148,Gp0072749,,,,
Ga0050705,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_25 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2522572099",Metatranscriptome mapping (other),1046149,,[],Gs0110148,Gp0072749,,,,
Ga0050706,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_25 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2522572101",Metatranscriptome mapping (other),1046150,,[],Gs0110148,Gp0072749,,,,
Ga0050707,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_25 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2556921099",Metatranscriptome mapping (other),1046151,,[],Gs0110148,Gp0072749,,,,
Ga0050708,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_25 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2556921018",Metatranscriptome mapping (other),1046152,,[],Gs0110148,Gp0072749,,,,
Ga0050709,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_25 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2556921109",Metatranscriptome mapping (other),1046153,,[],Gs0110148,Gp0072749,,,,
Ga0050710,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_25 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2558860971",Metatranscriptome mapping (other),1046154,,[],Gs0110148,Gp0072749,,,,
Ga0050711,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_25 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2558860968",Metatranscriptome mapping (other),1046155,,[],Gs0110148,Gp0072749,,,,
Ga0050712,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_25 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2523231013",Metatranscriptome mapping (other),1046156,,[],Gs0110148,Gp0072749,,,,
Ga0050713,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_25 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2523231025",Metatranscriptome mapping (other),1046157,,[],Gs0110148,Gp0072749,,,,
Ga0050714,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_25 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2556921043",Metatranscriptome mapping (other),1046158,,[],Gs0110148,Gp0072749,,,,
Ga0050715,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_25 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2522572128",Metatranscriptome mapping (other),1046159,,[],Gs0110148,Gp0072749,,,,
Ga0050716,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_25 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2522572104",Metatranscriptome mapping (other),1046160,,[],Gs0110148,Gp0072749,,,,
Ga0050717,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_25 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2523231010",Metatranscriptome mapping (other),1046161,,[],Gs0110148,Gp0072749,,,,
Ga0050718,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_25 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2556921017",Metatranscriptome mapping (other),1046162,,[],Gs0110148,Gp0072749,,,,
Ga0050719,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_25 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2556921041",Metatranscriptome mapping (other),1046163,,[],Gs0110148,Gp0072749,,,,
Ga0050720,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_25 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2558860160",Metatranscriptome mapping (other),1046164,,[],Gs0110148,Gp0072749,,,,
Ga0050721,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_25 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2556921005",Metatranscriptome mapping (other),1046165,,[],Gs0110148,Gp0072749,,,,
Ga0050722,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_25 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2558309151",Metatranscriptome mapping (other),1046167,,[],Gs0110148,Gp0072749,,,,
Ga0050723,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_25 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2556921676",Metatranscriptome mapping (other),1046168,,[],Gs0110148,Gp0072749,,,,
Ga0050724,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_25 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2522572103",Metatranscriptome mapping (other),1046169,,[],Gs0110148,Gp0072749,,,,
Ga0050725,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_25 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2522572149",Metatranscriptome mapping (other),1046170,,[],Gs0110148,Gp0072749,,,,
Ga0050726,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_25 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2546825533",Metatranscriptome mapping (other),1046171,,[],Gs0110148,Gp0072749,,,,
Ga0050727,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_25 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2556921095",Metatranscriptome mapping (other),1046172,,[],Gs0110148,Gp0072749,,,,
Ga0050728,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_25 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2556921112",Metatranscriptome mapping (other),1046173,,[],Gs0110148,Gp0072749,,,,
Ga0050729,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_25 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2558860141",Metatranscriptome mapping (other),1046174,,[],Gs0110148,Gp0072749,,,,
Ga0050730,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_25 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2522572155",Metatranscriptome mapping (other),1046175,,[],Gs0110148,Gp0072749,,,,
Ga0050731,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_25 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 3300001305",Metatranscriptome mapping (other),1046176,,[],Gs0110148,Gp0072749,,,,
Ga0050732,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_25 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 3300001205",Metatranscriptome mapping (other),1046177,,[],Gs0110148,Gp0072749,,,,
Ga0050937,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Bulk_28 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2558860165",Metatranscriptome mapping (other),1046394,,[],Gs0110148,Gp0072752,,,,
Ga0050938,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Bulk_28 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2522572100",Metatranscriptome mapping (other),1046395,,[],Gs0110148,Gp0072752,,,,
Ga0050939,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Bulk_28 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2556921040",Metatranscriptome mapping (other),1046396,,[],Gs0110148,Gp0072752,,,,
Ga0050940,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Bulk_28 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2522572102",Metatranscriptome mapping (other),1046398,,[],Gs0110148,Gp0072752,,,,
Ga0050941,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Bulk_28 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2556921042",Metatranscriptome mapping (other),1046399,,[],Gs0110148,Gp0072752,,,,
Ga0050942,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Bulk_28 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2522572150",Metatranscriptome mapping (other),1046400,,[],Gs0110148,Gp0072752,,,,
Ga0050943,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Bulk_28 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2522572099",Metatranscriptome mapping (other),1046401,,[],Gs0110148,Gp0072752,,,,
Ga0050944,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Bulk_28 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2522572101",Metatranscriptome mapping (other),1046402,,[],Gs0110148,Gp0072752,,,,
Ga0050945,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Bulk_28 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2556921099",Metatranscriptome mapping (other),1046403,,[],Gs0110148,Gp0072752,,,,
Ga0050946,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Bulk_28 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2556921018",Metatranscriptome mapping (other),1046404,,[],Gs0110148,Gp0072752,,,,
Ga0050947,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Bulk_28 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2556921109",Metatranscriptome mapping (other),1046405,,[],Gs0110148,Gp0072752,,,,
Ga0050948,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Bulk_28 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2558860971",Metatranscriptome mapping (other),1046406,,[],Gs0110148,Gp0072752,,,,
Ga0050949,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Bulk_28 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2558860968",Metatranscriptome mapping (other),1046407,,[],Gs0110148,Gp0072752,,,,
Ga0050950,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Bulk_28 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2523231013",Metatranscriptome mapping (other),1046408,,[],Gs0110148,Gp0072752,,,,
Ga0050951,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Bulk_28 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2523231025",Metatranscriptome mapping (other),1046409,,[],Gs0110148,Gp0072752,,,,
Ga0050952,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Bulk_28 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2556921043",Metatranscriptome mapping (other),1046410,,[],Gs0110148,Gp0072752,,,,
Ga0050953,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Bulk_28 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2522572128",Metatranscriptome mapping (other),1046411,,[],Gs0110148,Gp0072752,,,,
Ga0050954,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Bulk_28 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2522572104",Metatranscriptome mapping (other),1046412,,[],Gs0110148,Gp0072752,,,,
Ga0050955,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Bulk_28 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2523231010",Metatranscriptome mapping (other),1046413,,[],Gs0110148,Gp0072752,,,,
Ga0050956,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Bulk_28 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2556921017",Metatranscriptome mapping (other),1046414,,[],Gs0110148,Gp0072752,,,,
Ga0050957,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Bulk_28 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2556921041",Metatranscriptome mapping (other),1046415,,[],Gs0110148,Gp0072752,,,,
Ga0050958,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Bulk_28 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2558860160",Metatranscriptome mapping (other),1046416,,[],Gs0110148,Gp0072752,,,,
Ga0050959,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Bulk_28 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2556921005",Metatranscriptome mapping (other),1046417,,[],Gs0110148,Gp0072752,,,,
Ga0050960,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Bulk_28 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2558309151",Metatranscriptome mapping (other),1046419,,[],Gs0110148,Gp0072752,,,,
Ga0050961,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Bulk_28 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2556921676",Metatranscriptome mapping (other),1046420,,[],Gs0110148,Gp0072752,,,,
Ga0050962,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Bulk_28 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2522572103",Metatranscriptome mapping (other),1046421,,[],Gs0110148,Gp0072752,,,,
Ga0050963,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Bulk_28 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2522572149",Metatranscriptome mapping (other),1046422,,[],Gs0110148,Gp0072752,,,,
Ga0050964,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Bulk_28 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2546825533",Metatranscriptome mapping (other),1046423,,[],Gs0110148,Gp0072752,,,,
Ga0050965,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Bulk_28 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2556921095",Metatranscriptome mapping (other),1046424,,[],Gs0110148,Gp0072752,,,,
Ga0050966,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Bulk_28 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2556921112",Metatranscriptome mapping (other),1046425,,[],Gs0110148,Gp0072752,,,,
Ga0050967,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Bulk_28 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2558860141",Metatranscriptome mapping (other),1046426,,[],Gs0110148,Gp0072752,,,,
Ga0050968,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Bulk_28 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2522572155",Metatranscriptome mapping (other),1046427,,[],Gs0110148,Gp0072752,,,,
Ga0050969,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Bulk_28 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 3300001305",Metatranscriptome mapping (other),1046428,,[],Gs0110148,Gp0072752,,,,
Ga0050970,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Bulk_28 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 3300001205",Metatranscriptome mapping (other),1046429,,[],Gs0110148,Gp0072752,,,,
Ga0057624,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_26 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2523231029",Metatranscriptome mapping (other),1045965,,[],Gs0110148,Gp0072750,,,,
Ga0057625,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_26 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2546825534",Metatranscriptome mapping (other),1045986,,[],Gs0110148,Gp0072750,,,,
Ga0057634,"Grassland soil microbial communities from Hopland, California, USA - Sample H1_Rhizo_25 (Metagenome Metatranscriptome Expression - Other) - mapped to IMG dataset 2523231029",Metatranscriptome mapping (other),1046145,,[],Gs0110148,Gp0072749,,,,
